task_id,department,section_id,section_code,from_station_code,from_station_name,to_station_code,to_station_name,defect_type,defect_severity,days_overdue,reported_at,urgency_score,status,section_criticality_score
1,TRACTION_DISTRIBUTION,1862,MEC_MTD,MEC,MERTA CITY,MTD,MERTA ROAD J,Feeder/circuit breaker fault,5,1,2026-08-31 02:47:14.288111,,PENDING,0.4346
2,ENGINEERING,22406,PNME_GAYA,PNME,PARASNATH,GAYA,GAYA JN.,Rail fracture,1,26,2026-08-06 02:11:14.288111,,PENDING,0.2074
3,ENGINEERING,1741,YNG_MBNR,YNG,YENUGONDA HA,MBNR,MAHBUBNAGAR,Fastening/clip failure,2,52,2026-07-11 06:18:14.288111,,PENDING,0.3038
4,ENGINEERING,10540,PASR_CDBH,PASR,PANDURANGA S,CDBH,CANDRABANDA,Rail wear (flange/gauge),3,33,2026-07-29 22:56:14.288111,,PENDING,0.2074
5,SIGNAL_TELECOM,6382,DDE_SNK,DDE,DONDAICHA,SNK,SINDKHEDA,Cable/communication fault,3,9,2026-08-22 21:07:14.288111,,PENDING,0.2616
6,SIGNAL_TELECOM,19378,SA_DPJ,SA,SALEM JN.,DPJ,DHARMAPURI,Level crossing gate fault,2,4,2026-08-27 11:09:14.288111,,PENDING,0.4346
7,SIGNAL_TELECOM,5069,TIL_BEHT,TIL,TILRATH,BEHT,BIHAT HALT,Track circuit failure,4,22,2026-08-09 15:04:14.288111,,PENDING,0.2616
8,ENGINEERING,12907,SPGR_NTR,SPGR,SAMPIGE ROAD,NTR,NITTUR,Rail wear (flange/gauge),3,36,2026-07-27 02:54:14.288111,,PENDING,0.3038
9,SIGNAL_TELECOM,25290,JIND_ROK,JIND,JIND JN,ROK,ROHTAK JN.,Cable/communication fault,5,42,2026-07-21 05:08:14.288111,,PENDING,0.469
10,TRACTION_DISTRIBUTION,763,KTQ_SSM,KTQ,KUDRA,SSM,SASARAM,Mast/structure damage,4,10,2026-08-21 19:12:14.288111,,PENDING,0.4147
11,ENGINEERING,6270,PNP_DWNA,PNP,PANIPAT JN.,DWNA,DIWANA,Weld defect,3,6,2026-08-25 18:15:14.288111,,PENDING,0.4526
12,SIGNAL_TELECOM,26979,TMUR_CI,TMUR,Tenua Dumari,CI,CHHAPRA KACH,Level crossing gate fault,4,16,2026-08-15 23:29:14.288111,,PENDING,0.2074
13,SIGNAL_TELECOM,1157,JOR_MON,JOR,JALOR,MON,MODRAN,Signal aspect failure,2,19,2026-08-12 17:41:14.288111,,PENDING,0.3038
14,TRACTION_DISTRIBUTION,12146,KRR_ED,KRR,KARUR JN.,ED,ERODE JN.,Mast/structure damage,3,0,2026-08-31 20:38:14.288111,,PENDING,0.5111
15,TRACTION_DISTRIBUTION,19040,ON_LJN,ON,UNNAO JN.,LJN,LUCKNOW JN.,Insulator flashover/damage,2,3,2026-08-28 14:27:14.288111,,PENDING,0.4981
16,ENGINEERING,22253,KZJ_SKZR,KZJ,KAZIPET JN.,SKZR,SIRPURKAGHAZ,Ballast degradation,3,32,2026-07-31 05:36:14.288111,,PENDING,0.2616
17,SIGNAL_TELECOM,15922,LNKC_BNDM,LNKC,LINK C-CABIN,BNDM,BONDAMUNDA J,Track circuit failure,3,27,2026-08-04 09:32:14.288111,,PENDING,0.2074
18,SIGNAL_TELECOM,9526,AGN_DNL,AGN,AMGAON,DNL,DHANOLI,Level crossing gate fault,2,15,2026-08-16 16:09:14.288111,,PENDING,0.3382
19,TRACTION_DISTRIBUTION,11760,MAS_BBQ,MAS,CHENNAI CENT,BBQ,BASIN BRIDGE,Feeder/circuit breaker fault,2,1,2026-08-30 11:44:14.288111,,PENDING,0.2074
20,ENGINEERING,15637,GMO_TELO,GMO,NSC BOSE J G,TELO,TELO,Rail fracture,5,0,2026-08-31 19:29:14.288111,,PENDING,0.3673
21,ENGINEERING,11745,KWV_PUNE,KWV,KURDUVADI JN,PUNE,PUNE JN.,Weld defect,1,1,2026-08-30 21:37:14.288111,,PENDING,0.3038
22,SIGNAL_TELECOM,19708,OND_BDO,OND,AUNLAJORI JN,BDO,BAHALDA ROAD,Cable/communication fault,1,3,2026-08-29 06:14:14.288111,,PENDING,0.1308
23,SIGNAL_TELECOM,3384,JAL_SOS,JAL,JAWALI,SOS,SOMESAR,Point machine malfunction,3,6,2026-08-25 23:18:14.288111,,PENDING,0.2616
24,TRACTION_DISTRIBUTION,21888,SZM_NDLS,SZM,SUBZI MANDI,NDLS,NEW DELHI,Pantograph interaction issue,4,1,2026-08-30 18:50:14.288111,,PENDING,0.4841
25,SIGNAL_TELECOM,2926,BBL_JGR,BBL,BALRAI,JGR,JASWANTNAGAR,Cable/communication fault,4,21,2026-08-10 21:21:14.288111,,PENDING,0.3038
26,SIGNAL_TELECOM,13601,ALMW_AHM,ALMW,ALMAW (HALT),AHM,AHIMANPUR,Signal aspect failure,4,33,2026-07-29 08:47:14.288111,,PENDING,0.3038
27,TRACTION_DISTRIBUTION,12335,VJPJ_SMBX,VJPJ,VIJAYPUR JAM,SMBX,SAMBA,Insulator flashover/damage,3,1,2026-08-30 12:04:14.288111,,PENDING,0.4147
28,SIGNAL_TELECOM,26231,BG_SC,BG,BHONGIR,SC,SECUNDERABAD,Track circuit failure,5,0,2026-09-01 02:16:14.288111,,PENDING,0.3673
29,SIGNAL_TELECOM,6614,JEA_MIM,JEA,NAKAHA JUNGL,MIM,MANIRAM,Signal aspect failure,3,3,2026-08-28 07:30:14.288111,,PENDING,0.469
30,TRACTION_DISTRIBUTION,4284,AVD_PRES,AVD,AVADI,PRES,PATTABIRAM E,OHE wire wear/breakage,3,18,2026-08-13 18:31:14.288111,,PENDING,0.6149
