section_id,section_code,from_station_code,from_station_name,to_station_code,to_station_name,daily_train_count,criticality_score,last_computed_at
1,MV_MY,MV,MAYILADUTURA,MY,MALLIYAM,5,0.3382,2026-09-01 07:15:16.854274
2,ATE_BNDA,ATE,ATARRA,BNDA,BANDA JN,6,0.3673,2026-09-01 07:15:16.854274
3,BOE_SRI,BOE,BARSOI JN.,SRI,SALMARI,3,0.2616,2026-09-01 07:15:16.854274
4,KSP_RBZ,KSP,KISHANPUR,RBZ,RAMBHADDARPU,10,0.4526,2026-09-01 07:15:16.854274
5,TYM_NMN,TYM,TIRUMAIYAM,NMN,NAMANASAMUDR,3,0.2616,2026-09-01 07:15:16.854274
6,SKJ_LKN,SKJ,SAHIBPUR KAM,LKN,LAKHMINIA,6,0.3673,2026-09-01 07:15:16.854274
7,MFL_ANTU,MFL,MISHRAULI,ANTU,ANTU,1,0.1308,2026-09-01 07:15:16.854274
8,SBHR_KBPR,SBHR,SUBRAHMANYA,KBPR,KABAKA PUTTU,2,0.2074,2026-09-01 07:15:16.854274
9,MVI_KKR,MVI,MORVI,KKR,KHAKHRALA RO,1,0.1308,2026-09-01 07:15:16.854274
10,DYE_MJF,DYE,DAYANANDNAGA,MJF,MALKAJGIRI,16,0.5347,2026-09-01 07:15:16.854274
11,KMLK_SLTP,KMLK,KAMALAPUR,SLTP,SULTANPUR,2,0.2074,2026-09-01 07:15:16.854274
12,KKN_BRUD,KKN,KHIRKIYA,BRUD,BARUD,1,0.1308,2026-09-01 07:15:16.854274
13,BSB_BHLP,BSB,VARANASI JN.,BHLP,BHULANPUR F,3,0.2616,2026-09-01 07:15:16.854274
14,DSA_VVB,DSA,DELHI-SHAHDA,VVB,VIVEK VIHAR,29,0.6419,2026-09-01 07:15:16.854274
15,KPG_SNVR,KPG,KOPARGAON,SNVR,SANVATSAR,3,0.2616,2026-09-01 07:15:16.854274
16,KIAT_NDV,KIAT,KYATSANDRA,NDV,NIDVANDA,1,0.1308,2026-09-01 07:15:16.854274
17,CDA_VJK,CDA,CHUDA,VJK,VEJALAKA,1,0.1308,2026-09-01 07:15:16.854274
18,AIA_BWL,AIA,AJARKA,BWL,BAWAL,1,0.1308,2026-09-01 07:15:16.854274
19,PDI_KAD,PDI,PALASDARI,KAD,KANDALA,1,0.1308,2026-09-01 07:15:16.854274
20,MZL_WDR,MZL,MIRZAPALI,WDR,WADIARAM,10,0.4526,2026-09-01 07:15:16.854274
21,LKBL_JAM,LKBL,LAKHABAVAL,JAM,JAMNAGAR,4,0.3038,2026-09-01 07:15:16.854274
22,ABH_ULNR,ABH,AMBERNATH,ULNR,ULHASNAGAR,2,0.2074,2026-09-01 07:15:16.854274
23,RV_WGA,RV,RAVER,WGA,WAGHODA,2,0.2074,2026-09-01 07:15:16.854274
24,CPR_EKMA,CPR,CHHAPRA JN.,EKMA,EKMA,5,0.3382,2026-09-01 07:15:16.854274
25,SCM_PDT,SCM,SIMHACHALAM,PDT,PENDURTI,2,0.2074,2026-09-01 07:15:16.854274
26,MKL_TDV,MKL,MAKALI DURGA,TDV,THONDE BHAVI,2,0.2074,2026-09-01 07:15:16.854274
27,BXA_KYS,BXA,BALOD,KYS,KUSUMKASA,4,0.3038,2026-09-01 07:15:16.854274
28,MZB_TOR,MZB,MAHULI HALT,TOR,TITUR,4,0.3038,2026-09-01 07:15:16.854274
29,MLKA_KNPS,MLKA,MALUKA,KNPS,KENDPOSI,3,0.2616,2026-09-01 07:15:16.854274
30,JGWL_KRS,JGWL,JAGJVAN HALT,KRS,KARISATH,3,0.2616,2026-09-01 07:15:16.854274
31,ALJN_HRS,ALJN,ALIGARH JN.,HRS,HATHRAS JN.,9,0.4346,2026-09-01 07:15:16.854274
32,OEA_PTKP,OEA,ODELA,PTKP,POTKAPALLI,6,0.3673,2026-09-01 07:15:16.854274
33,TKMG_MWAI,TKMG,TIKAMGARH,MWAI,MAWAI,1,0.1308,2026-09-01 07:15:16.854274
34,JKPR_BRMI,JKPR,JAKHAPURA JN,BRMI,BRAHMANI,3,0.2616,2026-09-01 07:15:16.854274
35,AGQ_CDI,AGQ,ASIRGARH ROA,CDI,CHANDNI,2,0.2074,2026-09-01 07:15:16.854274
36,GBK_CTC,GBK,GOPALPUR BAL,CTC,CUTTACK JN.,1,0.1308,2026-09-01 07:15:16.854274
37,NNGL_MTPR,NNGL,NAYA NANGAL,MTPR,RAI MAIHATPU,4,0.3038,2026-09-01 07:15:16.854274
38,TNRU_TGU,TNRU,TENNERU HALT,TGU,TARI GOPPULA,8,0.4147,2026-09-01 07:15:16.854274
39,KPN_MAR,KPN,KUPPAM,MAR,MULANUR,2,0.2074,2026-09-01 07:15:16.854274
40,SC_BMO,SC,SECUNDERABAD,BMO,BOLARUM,1,0.1308,2026-09-01 07:15:16.854274
41,BME_BUT,BME,BARMER,BUT,BAYTU,1,0.1308,2026-09-01 07:15:16.854274
42,SLN_FD,SLN,SULTANPUR JN,FD,FAIZABAD JN.,3,0.2616,2026-09-01 07:15:16.854274
43,ARCL_SCA,ARCL,ARUNACHAL,SCA,SALCHAPRA,6,0.3673,2026-09-01 07:15:16.854274
44,ANR_GMO,ANR,ANARA,GMO,NSC BOSE J G,1,0.1308,2026-09-01 07:15:16.854274
45,KSC_WRS,KSC,KASHI CHAK,WRS,WARISALIGANJ,8,0.4147,2026-09-01 07:15:16.854274
46,BRNA_KUH,BRNA,BERAWANYA,KUH,KHACHROD,6,0.3673,2026-09-01 07:15:16.854274
47,MNE_SBV,MNE,MANSI JN.,SBV,SIMRI BAKHTI,6,0.3673,2026-09-01 07:15:16.854274
48,JRPD_KPJG,JRPD,JARAPADA,KPJG,KEREJANGA,1,0.1308,2026-09-01 07:15:16.854274
49,TLH_BHDH,TLH,TILHAR,BHDH,BAHADURPUR,2,0.2074,2026-09-01 07:15:16.854274
50,JAIS_AME,JAIS,JAIS,AME,AMETHI,1,0.1308,2026-09-01 07:15:16.854274
51,SOAE_BGAE,SOAE,SOMRA BAZAR,BGAE,BALA GARH,22,0.5918,2026-09-01 07:15:16.854274
